delta,greedy_ratio,theory_ratio,greedy_subset,optimal_subset
0.005,0.005025125628140819,0.005025125628140704,"(2,)","(0, 1)"
0.006361611401090387,0.0064023406040710044,0.006402340604070908,"(2,)","(0, 1)"
0.008094019923696641,0.008160067674029041,0.008160067674028944,"(2,)","(0, 1)"
0.010298201885448267,0.010405358366597941,0.01040535836659793,"(2,)","(0, 1)"
0.013102631705039645,0.013276589973764841,0.013276589973764706,"(2,)","(0, 1)"
0.01667077024781373,0.016953396424527114,0.016953396424527128,"(2,)","(0, 1)"
0.02121059241469005,0.021670230848755332,0.02167023084875524,"(2,)","(0, 1)"
0.026986709305834706,0.027735190838536112,0.02773519083853613,"(2,)","(0, 1)"
0.03433579151958203,0.035556657498586754,0.035556657498586684,"(2,)","(0, 1)"
0.043686192559287164,0.045681859050221485,0.04568185905022135,"(2,)","(0, 1)"
0.055582916131078255,0.0588542044404534,0.058854204440453306,"(2,)","(0, 1)"
0.07071938259306366,0.07610121342076298,0.076101213420763,"(2,)","(0, 1)"
0.08997784611642143,0.0988743468853316,0.09887434688533146,"(2,)","(0, 1)"
0.11448081833995662,0.12928101469845577,0.1292810146984558,"(2,)","(0, 1)"
0.14565649583152512,0.1704893817543462,0.1704893817543464,"(2,)","(0, 1)"
0.18532200490494105,0.2274788395178358,0.2274788395178357,"(2,)","(0, 1)"
0.23578931585524038,0.3085396746567549,0.30853967465675514,"(2,)","(0, 1)"
0.3,0.4285714285714283,0.4285714285714286,"(2,)","(0, 1)"
